Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,City,CLTV,Contract,Device Protection Plan,Gender,Internet Service,Internet Type,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Satisfaction Score,Senior Citizen,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,Churn
72,4,19.44,853,4849,2,1,0,1,2,37.538309,-122.305109,1,88.4,0,0,1,0,1,0,0,1,0,1,37926,0,3,1,1,1,0,25,2191.15,0,486.0,0.0,2677.15,0,1,904,0
27,59,45.62,955,3715,0,1,1,1,2,38.432145,-120.77069,0,95.5,1,0,0,0,0,0,0,0,0,1,4610,1,3,0,0,0,1,35,3418.2,0,1596.7,0.0,5014.9,1,1,1365,0
59,0,16.07,867,5092,0,0,1,0,3,37.007882,-122.065975,1,19.6,0,0,3,0,0,0,0,1,0,1,4563,0,5,0,0,0,0,46,851.2,0,739.22,0.0,1590.42,0,0,1065,0
25,27,0.0,109,2068,1,1,1,1,1,33.924143,-117.79387,1,45.85,0,0,3,0,1,0,1,1,1,0,1408,0,4,0,1,1,0,27,1246.4,30,0.0,0.0,1276.4,1,0,567,0
31,21,17.22,843,4026,1,1,1,1,0,37.311088,-121.961786,1,60.3,0,0,1,2,1,1,0,1,1,1,29914,0,2,0,0,0,0,58,3563.8,0,998.76,0.0,4562.56,0,1,1076,1
32,30,11.94,937,5351,0,1,1,1,0,38.033219,-121.297433,0,100.95,1,0,0,5,0,0,1,0,0,1,40611,0,1,0,1,1,1,3,329.95,10,35.82,0.0,375.77,0,0,1106,1
36,8,10.23,857,5436,0,0,1,1,2,37.942551,-122.491642,1,89.25,0,0,2,0,0,1,1,1,0,1,6448,1,3,0,1,1,0,24,2210.2,0,245.52,0.0,2455.72,0,1,1030,0
48,16,8.98,634,5413,0,1,0,1,2,37.380662,-122.086022,1,100.55,1,0,3,2,1,1,1,1,0,1,32143,0,2,0,0,0,1,63,6215.35,0,565.74,0.0,6781.09,0,0,855,1
72,14,44.81,915,5388,2,1,0,1,2,34.297628,-119.014627,0,111.65,1,0,0,1,1,0,0,0,0,1,2966,1,5,1,1,0,1,72,7943.45,0,3226.32,0.0,11169.77,0,1,610,0
54,12,14.88,834,3172,0,0,1,1,1,32.957195,-117.202542,0,60.95,1,2,0,0,1,1,0,0,0,1,28201,0,4,0,0,0,0,2,134.6,0,29.76,0.0,164.36,0,1,369,0
